Order_id,Status,Returned_date
65,Returned,00:00.0
69,Returned,00:00.0
134,Returned,00:00.0
135,Returned,00:00.0
230,Returned,00:00.0
324,Returned,00:00.0
359,Returned,00:00.0
612,Returned,00:00.0
614,Returned,00:00.0
678,Returned,00:00.0
710,Returned,00:00.0
740,Returned,00:00.0
775,Returned,00:00.0
833,Returned,00:00.0
902,Returned,00:00.0
928,Returned,00:00.0
930,Returned,00:00.0
1060,Returned,00:00.0
1127,Returned,00:00.0
1285,Returned,00:00.0
1317,Returned,00:00.0
1382,Returned,00:00.0
1538,Returned,00:00.0
1665,Returned,00:00.0
1921,Returned,00:00.0
2050,Returned,00:00.0
2052,Returned,00:00.0
2055,Returned,00:00.0
2146,Returned,00:00.0
2213,Returned,00:00.0
2240,Returned,00:00.0
2500,Returned,00:00.0
2503,Returned,00:00.0
2562,Returned,00:00.0
2823,Returned,00:00.0
2915,Returned,00:00.0
3300,Returned,00:00.0
3456,Returned,00:00.0
3525,Returned,00:00.0
3589,Returned,00:00.0
3687,Returned,00:00.0
3777,Returned,00:00.0
3783,Returned,00:00.0
4006,Returned,00:00.0
4037,Returned,00:00.0
4230,Returned,00:00.0
4261,Returned,00:00.0
4391,Returned,00:00.0
4610,Returned,00:00.0
4738,Returned,00:00.0
4864,Returned,00:00.0
4960,Returned,00:00.0
5028,Returned,00:00.0
5059,Returned,00:00.0
5061,Returned,00:00.0
5189,Returned,00:00.0
5381,Returned,00:00.0
5414,Returned,00:00.0
5511,Returned,00:00.0
5699,Returned,00:00.0
6054,Returned,00:00.0
6241,Returned,00:00.0
6272,Returned,00:00.0
6498,Returned,00:00.0
6500,Returned,00:00.0
6502,Returned,00:00.0
6661,Returned,00:00.0
6695,Returned,00:00.0
6757,Returned,00:00.0
6978,Returned,00:00.0
6979,Returned,00:00.0
7079,Returned,00:00.0
7107,Returned,00:00.0
7203,Returned,00:00.0
7269,Returned,00:00.0
7364,Returned,00:00.0
7521,Returned,00:00.0
7744,Returned,00:00.0
7812,Returned,00:00.0
7815,Returned,00:00.0
7841,Returned,00:00.0
7845,Returned,00:00.0
8034,Returned,00:00.0
8133,Returned,00:00.0
8292,Returned,00:00.0
8293,Returned,00:00.0
8353,Returned,00:00.0
8961,Returned,00:00.0
9027,Returned,00:00.0
9093,Returned,00:00.0
9152,Returned,00:00.0
9219,Returned,00:00.0
9472,Returned,00:00.0
9574,Returned,00:00.0
9696,Returned,00:00.0
9701,Returned,00:00.0
9762,Returned,00:00.0
9829,Returned,00:00.0
9895,Returned,00:00.0
9923,Returned,00:00.0
9927,Returned,00:00.0
10054,Returned,00:00.0
10183,Returned,00:00.0
10498,Returned,00:00.0
10662,Returned,00:00.0
10917,Returned,00:00.0
11271,Returned,00:00.0
11396,Returned,00:00.0
11425,Returned,00:00.0
11426,Returned,00:00.0
11648,Returned,00:00.0
11652,Returned,00:00.0
11682,Returned,00:00.0
11748,Returned,00:00.0
11909,Returned,00:00.0
11911,Returned,00:00.0
12005,Returned,00:00.0
